Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
1;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$1 a $1,5 millones;1;1;Consultorías y Asesorías
2;Bogotá;otros;1;Técnica;0;0;0;0;5;3;0;0;0;0;0;0;Otro;No;$1 a $1,5 millones;1;1;Consultorías y Asesorías
3;Bogotá;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Salario a convenir;0;1;Servicios
4;Bogotá;Operaciones y Procesos;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;C2;Si;Salario a convenir;0;1;Servicios
5;Bogotá;Docencia e I+D;3;Especialización;1;0;0;1;1;1;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;2;Educativo
6;Bogotá;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;No;$6 millones o más;3;2;Servicios
7;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;0;Otro;No;Salario a convenir;0;1;Consultorías y Asesorías
8;Bogotá;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;Educativo
9;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;10;4;0;0;0;0;0;0;Otro;No;Salario a convenir;0;1;Servicios
10;Bogotá;otros;2;Universitaria;0;0;0;0;2;2;0;0;1;0;0;0;Otro;No;$1,5 a $2 millones;1;1;Comercio al por menor - retail
11;Bogotá;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Salario a convenir;0;1;Químicos
12;Bogotá;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;B2;Si;Salario a convenir;0;2;Consultorías y Asesorías
13;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;1;1;Otro;No;Salario a convenir;0;1;Asegurador
14;Bogotá;Docencia e I+D;3;Maestría;0;1;1;1;2;2;0;0;0;0;0;1;B2;Si;$5,5 a $6 millones;3;1;Educativo
15;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;0;0;0;0;0;Otro;No;Salario a convenir;0;2;Educativo
16;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;3;2;0;0;0;0;0;1;Otro;No;$3,5 a $4 millones;2;1;Servicios
17;Bogotá;Docencia e I+D;2;Universitaria;0;0;0;0;1;1;1;1;0;0;0;0;C2;Si;Salario a convenir;0;1;Alimentos
18;Bogotá;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;No;$6 millones o más;3;1;Financiero
19;Bogotá;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;Consultorías y Asesorías
20;Bogotá;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;1;0;0;1;0;Otro;No;$2 a $2,5 millones;2;1;Consumo masivo
21;Bogotá;Docencia e I+D;3;Maestría;0;1;1;1;2;2;0;0;0;0;0;0;Otro;No;Salario a convenir;0;1;Educativo
