Item;Ciudad;Contratante;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ing;IngF;Idiomas;Pingles;Sintervalos;SalarioN;Salario;Vacantes;Sector de la vacante
1;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;Consultorías y Asesorías
2;Bogotá;ASESORIAS SERVICIOS Y NEGOCIOS SAS;otros;1;Técnica;0;0;0;0;5;3;0;0;0;0;0;0;Otro;0;Otro;No;$1 a $1,5 millones;1250000;1;1;Consultorías y Asesorías
3;Bogotá;Empresa confidencial;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;0;Otro;No;Salario a convenir;870000;0;1;Servicios
4;Bogotá;PAYU COLOMBIA SAS;Operaciones y Procesos;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;C2;6;C;Si;Salario a convenir;870000;0;1;Servicios
5;Bogotá;INCAP S.C.A;Docencia e I+D;3;Especialización;1;0;0;1;1;1;0;0;0;0;0;0;Otro;0;Otro;No;$2 a $2,5 millones;2250000;2;2;Educativo
6;Bogotá;Empresa confidencial;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;0;Otro;No;$6 millones o más;6500000;3;2;Servicios
7;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;0;Otro;0;Otro;No;Salario a convenir;870000;0;1;Consultorías y Asesorías
8;Bogotá;Empresa confidencial;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;$2 a $2,5 millones;2250000;2;1;Educativo
9;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;10;4;0;0;0;0;0;0;Otro;0;Otro;No;Salario a convenir;870000;0;1;Servicios
10;Bogotá;Empresa confidencial;otros;2;Universitaria;0;0;0;0;2;2;0;0;1;0;0;0;Otro;0;Otro;No;$1,5 a $2 millones;1750000;1;1;Comercio al por menor - retail
11;Bogotá;Empresa confidencial;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;0;Otro;No;Salario a convenir;870000;0;1;Químicos
12;Bogotá;Deloitte;Docencia e I+D;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;B2;4;B;Si;Salario a convenir;870000;0;2;Consultorías y Asesorías
13;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;1;1;Otro;0;Otro;No;Salario a convenir;870000;0;1;Asegurador
14;Bogotá;Politecnico Grancolombiano;Docencia e I+D;3;Maestría;0;1;1;1;2;2;0;0;0;0;0;1;B2;4;B;Si;$5,5 a $6 millones;5750000;3;1;Educativo
15;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;0;0;0;0;0;Otro;0;Otro;No;Salario a convenir;870000;0;2;Educativo
16;Bogotá;Empresa confidencial;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;3;2;0;0;0;0;0;1;Otro;0;Otro;No;$3,5 a $4 millones;3750000;2;1;Servicios
17;Bogotá;MONDELÉZ;Docencia e I+D;2;Universitaria;0;0;0;0;1;1;1;1;0;0;0;0;C2;6;C;Si;Salario a convenir;870000;0;1;Alimentos
18;Bogotá;Fiduoccidente;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;0;Otro;No;$6 millones o más;6500000;3;1;Financiero
19;Bogotá;OUTSOURCING S.A;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;0;Otro;0;Otro;No;$3 a $3,5 millones;3250000;2;1;Consultorías y Asesorías
20;Bogotá;Tecnoquimicas;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;Otro;Otro;0;1;0;0;1;0;Otro;0;Otro;No;$2 a $2,5 millones;2250000;2;1;Consumo masivo
21;Bogotá;UNIVERSIDAD LA GRAN COLOMBIA;Docencia e I+D;3;Maestría;0;1;1;1;2;2;0;0;0;0;0;0;Otro;0;Otro;No;Salario a convenir;870000;0;1;Educativo
22;Bogotá;Empresa confidencial;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;Otro;0;Otro;No;$1,5 a $2 millones;1750000;1;1;Químicos
23;Bogotá;Empresa confidencial;Docencia e I+D;3;Maestría;0;1;0;1;2;2;0;0;0;0;0;0;Otro;0;Otro;No;$4 a $4,5 millones;4250000;2;1;Educativo
