Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
1;Bogota;Empresa confidencial;Docencia;3;Posgrado;1;1;0;1;3;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Educativo
2;Bogota;Empresa confidencial;Economía y desarrollo económico;2;Universitaria;1;0;0;1;4;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Servicios
3;Bogota;Crowe CO SAS;Consultoría;2;Universitaria;0;0;0;0;4;0;0;0;0;1;1;Salario a convenir;B;0;1;Servicios
4;Bogota;Camacol;Investigación;2;Universitaria;0;0;0;0;2;0;0;0;1;0;1;3 a 3.5 millones;Otro;2;1;Construccion
5;Bogota;Cámara de Comercio de Bta;;3;Especialización;1;0;0;1;4;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Servicios
6;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;3 a 3.5 millones;Otro;2;1;Agropecuario
7;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;4 a 4.5 millones;Otro;2;2;Servicios
8;Bogota;Allianz seguros S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;1;0;0;1;0;4.5 a 5.5 millones;Otro;2;1;Asegurador
9;Bogota;Instituto colombiano de aprendizaje;Docencia;3;Especialización;1;0;0;1;1;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Educativo
10;Bogota;Empresa confidencial;Operaciones y procesos;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2.5 a 3 millones;Otro;1;1;Editorial e impresión
11;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
12;Bogota;Empresa confidencial;Salud;2;Universitaria;0;0;0;0;2;0;0;0;1;0;0;2.5 a 3 millones;Otro;1;1;Otros
13;Bogota;Empresa confidencial;Salud;2;Universitaria;0;0;0;0;4;0;0;0;1;0;0;3 a 3.5 millones;Otro;2;1;Otros
14;Bogota;Mazars Colombia SAS;Proyectos;2;Universitaria;0;0;0;0;4;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Consultorías
15;Bogota;CAFAM;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;2.5 a 3 millones;Otro;1;1;Servicios
16;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;1;0;0;1;3.5 a 4 millones;Otro;2;1;Educativo
17;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Servicios
18;Bogota;Agencia de empleo y fomento empresarial compensar;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;Menos de 1 millon;Otro;1;2;Otros
19;Bogota;Crowe CO SAS;Administrativa y financiera;3;Especialización;1;0;0;1;7;0;0;0;0;1;0;Salario a convenir;B;0;1;Servicios
20;Bogota;Coltrans;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;3 a 3.5 millones;Otro;2;1;Transporte
21;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;1;0;0;1;1;2 a 2.5millones;Otro;1;1;Salud
22;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;6;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
23;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Salud
24;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Salud
25;Bogota;Grupo Energia Bogota;Administrativa y financiera;2;Universitaria;0;0;0;0;4;0;0;1;0;1;1;6 a 8 millones;Otro;2;1;Energético
26;Medellin;PGRX Colombia LTDA;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;C;0;1;Servicios
28;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;C;0;1;Organizaciones No Gubernamentales
29;Bogota;Fundación Cardioinfantil y LaCardio;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;3 a 3.5 millones;Otro;2;1;Salud
30;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;Salario a convenir;C;0;1;Servicios
31;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;2 a 2.5millones;Otro;1;1;Financiero
32;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Salud
33;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Salud
34;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;0;0;1;5;1;0;0;1;1;1;4.5 a 5.5 millones;Otro;2;1;Otros
35;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;0;4 a 4.5 millones;Otro;2;1;Servicios
36;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Consultorías
37;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;0;0;1;4;1;0;0;0;1;1;6 a 8 millones;Otro;2;1;Salud
38;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Consultorías
39;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Salud
40;Bogota;CAFAM;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Servicios
41;Bogota;Confipetrol;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;2.5 a 3 millones;Otro;1;1;Energético
42;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;2;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Salud
43;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Salud
44;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Salud
45;Medellin;Laboratorio Clínico Colmedicos IPS SAS;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;2.5 a 3 millones;Otro;1;1;Estatal y relacionados
46;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;0;0;1;10;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
48;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Salud
49;Bogota;Hospital Universitario Clinica San Rafael;Sistemas y tecnología;2;Universitaria;0;0;0;0;2;1;0;0;1;1;1;3 a 3.5 millones;Otro;2;1;Salud
50;Bogota;Suncolombia;Administrativa y financiera;3;Especialización;1;0;0;1;5;0;0;0;0;0;1;6 a 8 millones;Otro;2;1;Servicios
52;Bogota;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Salud
53;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;0;0;1;5;1;0;0;1;0;1;Salario a convenir;B;0;1;Tecnología
54;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;4 a 4.5 millones;Otro;2;1;Servicios
55;Medellin;WebHelp;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;0;3.5 a 4 millones;B;2;1;Telecomunicaciones
56;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;6 a 8 millones;Otro;2;1;Servicios
57;Bogota;Agencia de empleo y fomento empresarial compensar;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;Menos de 1 millon;Otro;1;1;Otros
58;Bogota;Universidad Santo Tomás;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;2 a 2.5millones;Otro;1;1;Educativo
59;Bogota;Ingeplan.co SAS Empresa de beneficio e interes colectivo IBC;Auditoría, Controlaría e Intervención;3;Especialización;1;0;0;1;3;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Consultorías
60;Bogota;Empresa confidencial;Salud;1;Técnica;0;0;0;0;1;0;0;0;0;1;1;2.5 a 3 millones;Otro;1;1;Salud
61;Bogota;CHEIL Colombia;Mercadeo y Publicidad;2;Universitaria;0;0;0;0;2;0;1;0;0;1;1;Salario a convenir;Otro;0;1;Publicidad y Mercadeo
62;Bogota;Universidad Santo Tomás;Sistemas y tecnología;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;2 a 2.5millones;Otro;1;1;Educativo
63;Bogota;Aseocolba S.A;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;2.5 a 3 millones;Otro;1;1;Servicios
64;Bogota;Arquint Colombia SAS;Comercial, Ventas y Telemercadeo;3;Especialización;1;0;0;1;4;0;1;0;1;0;1;4.5 a 5.5 millones;B;2;1;Construccion
65;Bogota;Serdan SA;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;2.5 a 3 millones;Otro;1;1;Consultorías
66;Bogota;Pricewaterhousecoopers;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;3;0;1;1;0;0;0;Salario a convenir;Otro;0;1;Consultorías
67;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;0;0;1;4;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Transporte
68;Bogota;Empresa confidencial;Salud;2;Universitaria;0;0;0;0;1;1;1;0;0;0;0;Salario a convenir;Otro;0;1;Salud
69;Bogota;CUN;Docencia;2;Universitaria;0;0;0;0;4;0;0;0;0;0;1;3.5 a 4 millones;Otro;2;1;Educativo
70;Bogota;Colsof SAS;Administrativa y financiera;1;Técnica;0;0;0;0;1;0;0;0;0;0;0;2.5 a 3 millones;Otro;1;1;Tecnología
71;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;1;0;0;0;0;3 a 3.5 millones;Otro;2;1;Construccion
72;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Servicios
73;Bogota;Itaú Colombia;Administrativa y financiera;3;Especialización;1;0;0;1;6;1;1;0;0;1;1;8 a 10 millones;B;3;1;Financiero
74;Bogota;Corprogreso;Proyectos;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Otros
75;Bogota;Grupo Energia Bogota;Proyectos;3;Especialización;0;1;0;1;11;1;1;1;1;0;1;18 a 21 millones;C;3;1;Energético
76;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Salud
77;Bogota;Contactar microfinanciera;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2.5 a 3 millones;Otro;1;1;Financiero
78;Bogota;Contactar microfinanciera;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;1;0;0;1;4 a 4.5 millones;Otro;2;1;Financiero
79;Bogota;Cobiscorp;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Tecnología
80;Bogota;Grupo Energia Bogota;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;1;0;1;1;4.5 a 5.5 millones;Otro;2;1;Energético
81;Bogota;Empresa confidencial;Servicio al cliente;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Financiero
82;Bogota;Alfa;Mercadeo y Publicidad;3;Especialización;1;0;0;1;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Construccion
83;Bogota;Itaú Colombia;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;1;1;0;5.5 a 6 millones;Otro;2;1;Financiero
84;Bogota;Performia Colombia SAS;Administrativa y financiera;2;Universitaria;1;1;0;1;5;0;0;0;1;1;1;6 a 8 millones;Otro;2;1;Servicios
85;Bogota;Pricewaterhousecoopers;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;3;1;0;1;0;1;0;2.5 a 3 millones;B;1;1;Consultorías
86;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;1;1;0;2.5 a 3 millones;Otro;1;1;Financiero
87;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;1;1;0;0;1;1;0;3 a 3.5 millones;Otro;2;1;Financiero
88;Bogota;BBVA;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;3;Financiero
89;Bogota;Skandia;Operaciones y procesos;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;2 a 2.5millones;Otro;1;1;Financiero
90;Bogota;Distribuidora NISSAN;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Vehículos y partes
91;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Consultorías
92;Bogota;Tecnoquimicas;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;0;3.5 a 4 millones;Otro;2;1;Consumo masivo
93;Bogota;Compensar;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;Menos de 1 millon;Otro;1;1;Servicios
94;Bogota;Empresa confidencial;Administrativa y financiera;3;Especialización;1;1;0;1;3;1;1;0;0;0;1;8 a 10 millones;Otro;3;1;Otros
97;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;4.5 a 5.5 millones;Otro;2;1;Telecomunicaciones
99;Bogota;Novasoft SAS;Proyectos;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Tecnología
100;Bogota;Empresa confidencial;Auditoría, Controlaría e Intervención;3;Especialización;1;0;0;1;6;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Telecomunicaciones
101;Bogota;Falabella;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Comercio al por menor - retail
